83643|sphingosine
6969|arteriae radiculares (anterior et posterior)
6970|arteria pancreaticoduodenalis superior (anterior et posterior)
97129|venae vestibulares (anterius et posterius)
31986|fascia cervicalis
31986|fascia colli
31986|deep fascia of neck
31986|fascia cervicalis profunda
56713|levator veli palatini (muscle)
7210|arteriae palpebrales (laterales et mediales)
9361|A discs
9361|anisotropic discs
9361|Q bands1
9361|Q discs
25153|A bands
25153|under band
15489|B lymphocyte
51896|B cell2
98755|cercopithecrine herpesvirus
15519|gamma cell of pancreas
16423|C-peptide
31643|coupling factors
15558|delta cell of pancreas
29555|4-α-d-glucanotransferase
51303|displacement loop
27639|uvomorulin
87946|eosinophilia-myalgia syndrome
69449|fertility factor
69449|sex factor
91120|β-΄ thalassemia
99682|fibrillary waves
99682|fibrillatory waves
99682|flutter-fibrillation waves
72979|G-protein
72979|GTP binding proteins
72979|guanine nucleotide-binding protein
72979|guanine-binding protein
1739|flagellar agglutinin
22004|characteristic curve
9378|H disc
9378|Hensen disc
9378|Hensen line
39342|heavy chain
9381|I disc
9381|isotropic disc
15660|inclusion cell
25178|I band
25566|mucolipidosis II
70584|ST junction
19434|juxtaglomerular complex
46133|Pilocarpus
3094|hemipelvectomy
14109|electron capture
15680|killer cells
16430|light chain
9387|M line
15703|microfold cells
50434|M band
50434|mesophragma
67825|mitotic period
1744|somatic agglutinin
83591|rectosigmoid sphincter
96714|rectosigmoid sphincter
29575|phosphorylase
9397|A bands
25191|A bands
25191|under band
32731|nine mile fever
29581|α-dextrin endo-1
29581|6-α-glucosidase
31777|resistance plasmids
31777|under plasmid
69452|resistance plasmids
4933|soluble antigen
4933|arrestin
67846|synthesis period
15912|T lymphocyte
95373|ubiquinol
95374|ubihydroquinone
31834|biotin
76007|intermediate rays
43928|lyonization
100534|androgenic zone1
100211|lyonization
14780|hypsiloid cartilage
4233|hypsiloid angle
36685|holandric gene
9404|Z line
25205|Z line
50537|intermediate disc
50537|Z band
50537|Z disc
